laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de alarmas

'Rango : 'Por tiempo:' (01-29-2025 05:47:34 ... 02-05-2025 06:47:34)
'Filtro :   usuarios = 'Todos los usuarios'  alarmas = 'Todas las alarmas'  tipos = 'Alarma entrante' 'Conf entrante.' 'Alarmas pendientes' 'Conf saliente.'

Tiempo ,Tipo de alarma,Número,Alarma

01-28-2025 12:46:09,'Alarma entrante,'495,'MOLINO SECO (F501001)
01-28-2025 12:46:09,'Alarma entrante,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO
01-29-2025 07:19:19,'Conf entrante.,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO - por paulamh (Paula Martinez Henao)
01-29-2025 07:19:19,'Conf entrante.,'495,'MOLINO SECO (F501001) - por paulamh (Paula Martinez Henao)
01-29-2025 07:19:21,'Alarmas pendientes,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO
01-29-2025 07:19:21,'Alarmas pendientes,'495,'MOLINO SECO (F501001)
01-29-2025 07:19:26,'Conf saliente.,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO - por paulamh (Paula Martinez Henao)
01-29-2025 07:19:26,'Conf saliente.,'495,'MOLINO SECO (F501001) - por paulamh (Paula Martinez Henao)
01-29-2025 07:19:57,'Alarma entrante,'495,'MOLINO SECO (F501001)
01-29-2025 07:19:57,'Alarma entrante,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO
01-29-2025 07:20:25,'Conf entrante.,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO - por paulamh (Paula Martinez Henao)
01-29-2025 07:20:25,'Conf entrante.,'495,'MOLINO SECO (F501001) - por paulamh (Paula Martinez Henao)
01-29-2025 07:20:27,'Alarmas pendientes,'495,'MOLINO SECO (F501001)
01-29-2025 07:20:27,'Alarmas pendientes,'495 - 5,'MOLINO SECO (F501001) - MOTOR DE TIEMPO FC LISTO
01-29-2025 07:46:34,'Alarma entrante,'97,'CUERDA DEL ANILLO DEL FILTRO (G204895 / G204896)
01-29-2025 07:46:34,'Alarma entrante,'97 - 2,'CUERDA DEL ANILLO DEL FILTRO (G204895 / G204896) -  FALLA DE SEÑAL DE RETROALIMENTACIÓN: CUERDA 2 NO SEGURA (G204896)
01-29-2025 07:46:52,'Conf entrante.,'97,'CUERDA DEL ANILLO DEL FILTRO (G204895 / G204896) - por paulamh (Paula Martinez Henao)
01-29-2025 07:46:52,'Conf entrante.,'97 - 2,'CUERDA DEL ANILLO DEL FILTRO (G204895 / G204896) -  FALLA DE SEÑAL DE RETROALIMENTACIÓN: CUERDA 2 NO SEGURA (G204896) - por paulamh (Paula Martinez Henao)
01-29-2025 07:46:54,'Alarmas pendientes,'97 - 2,'CUERDA DEL ANILLO DEL FILTRO (G204895 / G204896) -  FALLA DE SEÑAL DE RETROALIMENTACIÓN: CUERDA 2 NO SEGURA (G204896)
01-29-2025 07:46:54,'Alarmas pendientes,'97,'CUERDA DEL ANILLO DEL FILTRO (G204895 / G204896)
